Headword;CEFR
chain;A2
chair;A1
chairman;A2
challenge;A2
challenge;B2
challenging;B1
champagne;A2
champion;B1
championship;A2
chance;A2
chancellor;B2
change;A1
change;A1
channel;B1
chaos;B1
chaotic;B2
chapter;A2
character;A1
characteristic;B2
characteristic;B1
characterize/characterise;B1
charge;B1
charge;B1
chariot;B1
charity;B1
charm;B1
charming;B2
chart;A2
chase;B1
chase;B2
chat;B1
chat;A2
chat show;B1
cheap;A2
cheat;B2
check;A1
check;A2
check-in counter/check-in;B1
check-in desk/check-in;B1
checkout;B1
checkpoint;B2
cheek;A2
cheeky;B2
cheer;A2
cheerful;B1
cheerfully;B2
cheerfulness;B2
cheese;A1
chef;A2
chemical;A2
chemical;B1
chemist;B1
chemistry;B1
chemotherapy;B2
cheque;A2
cherish;B1
cherished;B2
cherry;B2
chess;A2
chest;A2
chest of drawers;B1
chew;B2
chewing gum;B1
chicken;A1
chief;B1
chief;B2
child;A1
childhood;A2
childish;B2
chili/chilli;A2
chimney;B2
chimpanzee;A2
chin;A2
chip;B2
chirp;A2
chocolate;A1
choice;A2
choir;B1
choke;B1
choose;A1
chop;B2
Christian;B1
chronological;B1
chuckle;B1
chunk;B2
church;A1
cigarette;A2
cinema;A1
circle;A1
circle;B1
circuit;B2
circuitry;B2
circular;B1
circumstance;B2
circus;B1
citizen;A2
citizenship;B1
city;A1
citywide;B2
civil;B1
civilization/civilisation;B1
claim;B1
claim;A2
clam;B2
clap;B2
clarify;B2
class;A1
classic;A2
classic;B2
classical;B1
classical music;A2
classification;B2
classify;B1
classmate;A1
classroom;A1
clause;B2
clean;A1
clean;A1
cleaner;A2
clear;A2
clear;B1
clearly;A2
clearness;B2
clerical;B2
clerk;A2
clever;A1
click;B1
click;A2
client;B2
cliff;B1
climate;B1
climate change;B2
climb;A1
climb;A2
climber;B1
climbing;A2
clinic;B1
clip;B1
clock;A1
clog;B2
clone;A2
close;A1
close;A1
closed;A1
closely;B1
closure;B2
cloth;A1
clothes;A1
clothing;B2
cloud;A1
cloudy;A1
clown;A2
club;A1
clue;A2
clumsy;B2
coach;A1
coach;B2
coaching;B2
coal;B1
coalition;B2
coarse;B2
coast;A2
coast;B1
coastal;B1
coastline;B2
coat;A1
cocktail;B2
cocoa;B2
coconut;B2
cod;B1
code;A1
coffee;A1
coffin;B1
coherence;B2
coherent;B2
coin;A2
coincide;B2
coincidence;B2
coke;A1
cola;A2
cold;A1
cold;A1
collapse;B1
collapse;B2
collar;B1
colleague;B2
collect;A1
collection;A1
collector;B2
college;A1
collocation;B2
colon;B2
colonial;B2
color/colour;A1
color/colour;A1
colorful/colourful;A2
column;A2
columnist;B1
coma;B2
comb;A2
comb;B2
combination;B1
combine;B1
come;A1
comedian;B1
comedy;B1
comet;B1
comfort;B1
comfortable;A2
comfortably;B2
comic;A2
comic;A2
comma;B1
command;B1
commander;B2
commemorate;B2
comment;B1
comment;B2
commerce;B2
commercial;B1
commercial;B2
commission;B2
commit;B1
commitment;A2
committee;A2
common;A2
common sense;B1
commonly;B1
commonwealth;B2
communicate;A2
communication;A2
communicative;B2
community;B2
commute;B2
companion;B1
company;A2
comparative;A2
compare;A2
comparison;B1
compassion;B2
compassionate;B2
compatible;B2
compensate;B2
compensation;B2
compete;B1
competence;B2
competent;B2
competition;A2
competitive;B1
competitor;B1
compile;B2
complain;A2
complaint;A2
complement;B1
complete;A2
complete;B1
completely;B1
completion;B2
complex;B1
complexion;B2
complexity;B2
complicate;B1
complicated;B1
compliment;B1
component;B2
compose;B1
composer;A2
composition;B1
compound;B1
comprehension;B2
comprehensive;B2
compress;B2
compression;B2
compromise;B1
compromise;B2
compulsory;B2
compute;B2
computer;A1
conceal;B2
concede;B2
conceit;B2
conceivable;B2
conceive;B2
concentrate;A2
concentration;B1
concept;B1
conception;B2
concern;A2
concern;B2
concerned;B1
concerning;B2
concert;A1
concession;B2
conclude;B1
conclusion;B1
concrete;B2
concrete;B2
condemn;B2
condition;A2
conduct;B1
conduct;B2
conductor;B2
cone;B2
conference;B2
conferencing;B2
confess;B2
confession;B2
confidence;B1
confident;A2
confidently;B2
confine;B2
confirm;B1
confirmation;B1
conflict;B1
confront;B2
confuse;A2
confused;A2
confusing;B1
confusion;B1
congratulate;B1
conjunction;B2
connect;B1
connection/connexion;B1
conquer;B1
conquest;B2
conscience;B2
conscious;B1
consciousness;B2
consensus;B2
consent;B2
consequence;A2
consequently;B1
conservation;B1
conservative;B1
consider;A2
considerable;B1
considerably;B2
consideration;B1
considering;B2
considering;B2
consist;A2
consistent;B2
consolation;B2
console;B2
consonant;B1
constant;B2
constantly;B1
constitute;B1
constitution;B1
construct;B1
construction;B1
consult;B2
consultant;B2
consume;B1
consumer;B1
consumption;B1
contact;A2
contact;A2
contain;B1
container;A2
contaminate;B2
contemporary;B2
contempt;B2
content;B2
content;B1
contest;A1
context;A2
continent;A2
continual;B1
continually;B1
continue;A2
continuous;B1
continuously;B1
contract;B2
contradict;B2
contradiction;B2
contradictory;B2
contrary;B1
contrast;A2
contribute;B1
contribution;B1
control;A2
control;B1
controversial;B1
controversy;B2
convenience;A2
convenient;A2
conveniently;B2
convention;B2
conventional;B2
conversation;A1
converse;B2
conversely;B2
conversion;B2
convert;B2
convey;B1
convince;B1
convinced;B2
cook;A1
cook;A1
cooker;A2
cookie;A1
cooking;A2
cool;A1
cool;B2
cooler;A2
cooperate;B2
cooperation;B2
cooperative;B2
cop;A1
cope;B2
copper;B2
copy;A1
copy;A2
copyright;B1
coral;B2
core;B2
corn;A1
corner;A1
cornerstone;B2
cornet;B2
corona;B2
corporal;B2
corporate;B2
corporation;B2
correct;A1
correct;B2
correction;B1
correctly;A2
correctness;B2
correspond;B2
correspondence;B2
correspondent;B2
corresponding;B2
corridor;B2
corrupt;B2
corruption;B2
cost;A2
cost;A2
costly;B2
costume;B2
cottage;B2
cotton;B1
couch;A1
cough;B2
cough;B1
could;A1
council;B1
counseling/counselling;B1
count;B1
count;A2
counter;B2
counter;B1
countless;B1
country;A2
countryman;B2
countryside;A2
countrywide;B2
county;B1
couple;A2
courage;B1
courageous;B1
courgette;B1
course;A1
court;A2
courtesy;B2
cousin;A1
cover;A1
cover;A2
cow;A1
coward;B2
cowardly;B2
coziness/cosiness;B2
cozy/cosy;B2
crab;B2
crack;B2
crack;B2
craft;B1
craftsman;B2
crash;B1
crash;B1
crater;B2
crawl;B2
crazy;A2
cream;A2
cream;A1
crease;B2
create;A2
creation;B2
creative;A2
creatively;B2
creativity;A2
creator;B1
creature;A2
credit;A2
credit card;A1
creek;B2
creepy;B2
crew;B2
cricket;A2
crime;A2
criminal;B2
criminal;B1
cripple;B2
crisis;B1
crisp;A2
critic;B1
critical;B1
critically;B2
criticism;B2
criticize/criticise;A2
crocodile;B2
crop;B1
cross;A2
cross;A2
crossing;B1
crossly;B2
crossroads;B1
crow;B1
crowd;A2
crowded;A2
crown;A2
crucial;B2
cruel;B1
cruelly;B2
cruelty;B2
cruise;A2
cruise;B2
crush;B1
cry;A1
cry;A2
crystallize/crystallise;B2
cube;B2
cubism;B2
cucumber;B1
cuff;B2
culmination;B2
cultivate;B1
cultural;B1
culturally;B2
culture;A1
cup;A1
cupboard;A2
cure;B1
cure;B2
curiosity;B1
curious;B1
curiously;B1
curl;B2
curly;B1
currency;B1
current;B1
currently;B1
curriculum;B1
curry;A2
curse;A2
cursor;B2
curtain;B1
curve;B1
cushion;B1
custom;A2
customer;A2
customs;B1
cut;B1
cut;A1
cute;A1
CV;B1
